method	endpoint	scope	minimum_depth	n_tests	n_replicated	replication_rate	ci_low	ci_high	conditional_null_rate	orientation_p_value
LeafCutter	pooled direction	all selected calls	20	56	49	0.875	0.7637452344180986	0.9381093130428289	0.5	3.727605155101621e-09
LeafCutter	both biological replicates	all selected calls	20	43	37	0.8604651162790697	0.7273641203261714	0.9344427657203511	0.46511627906976744	9.732502803672105e-09
MAJIQ Heterogen	pooled direction	all selected calls	20	139	86	0.6187050359712231	0.5357973528058863	0.6952280110657066	0.5	0.003217405269798038
MAJIQ Heterogen	both biological replicates	all selected calls	20	113	54	0.4778761061946903	0.38802854572550594	0.569178424724315	0.34513274336283184	0.0004505017602609711
Paired junction CLR	pooled direction	all selected calls	20	131	78	0.5954198473282443	0.5098149209890679	0.675587997509788	0.5	0.017799992935279146
Paired junction CLR	both biological replicates	all selected calls	20	93	37	0.3978494623655914	0.3043342343812164	0.49946880378677255	0.27419354838709675	0.0008845985918934929
Tealeaf	pooled direction	all selected calls	20	704	405	0.5752840909090909	0.5384590513971805	0.6112919962125516	0.5	3.681204690899125e-05
Tealeaf	both biological replicates	all selected calls	20	459	175	0.3812636165577342	0.33798973371575225	0.4265084590828605	0.3311546840958606	0.00486947777272248
scQuint	pooled direction	all selected calls	20	43	36	0.8372093023255814	0.7002759410625283	0.91883372652938	0.5	4.481519681576174e-06
scQuint	both biological replicates	all selected calls	20	32	26	0.8125	0.6469084479862404	0.9111045531043405	0.421875	2.086162567138672e-07
LeafCutter	pooled direction	one call per gene and contrast	20	55	48	0.8727272727272727	0.7598297234409093	0.9369578957263536	0.5	6.543793062974146e-09
LeafCutter	both biological replicates	one call per gene and contrast	20	42	36	0.8571428571428571	0.7215891052555522	0.9328403298403735	0.4642857142857143	1.8044374883174896e-08
MAJIQ Heterogen	pooled direction	one call per gene and contrast	20	117	73	0.6239316239316239	0.5335362773504075	0.7064475848357525	0.5	0.004670380294718283
MAJIQ Heterogen	both biological replicates	one call per gene and contrast	20	95	44	0.4631578947368421	0.3662764282064395	0.5629030873175216	0.3473684210526316	0.00460524484727729
Paired junction CLR	pooled direction	one call per gene and contrast	20	130	77	0.5923076923076923	0.5063645493259251	0.6729520855304875	0.5	0.021627565392914386
Paired junction CLR	both biological replicates	one call per gene and contrast	20	92	36	0.391304347826087	0.29785623268996947	0.49346580845907867	0.2717391304347826	0.0013010857283610733
Tealeaf	pooled direction	one call per gene and contrast	20	560	315	0.5625	0.5211251809502585	0.6030231925063668	0.5	0.001755472877452321
Tealeaf	both biological replicates	one call per gene and contrast	20	372	141	0.3790322580645161	0.3312054155989542	0.4293319123413968	0.3333333333333333	0.017956873008211045
scQuint	pooled direction	one call per gene and contrast	20	42	35	0.8333333333333334	0.6939599725535115	0.9168408335360192	0.5	7.5486004789127045e-06
scQuint	both biological replicates	one call per gene and contrast	20	31	25	0.8064516129032258	0.6371974218820453	0.908129916384139	0.41935483870967744	4.023313522338867e-07
